Title,Date
"Blood of Zeus: A Monster is Born","12/4/22"
"Blood of Zeus: The Raid","12/4/22"
"Blood of Zeus: Past is Prologue","12/4/22"
"Blood of Zeus: A Call to Arms","12/4/22"
"One-Punch Man: The Strongest Hero","12/4/22"
" ","12/4/22"
"Forest of Piano: Season 2: The Best Pianist in the World","12/3/22"
"Forest of Piano: Season 2: In the Country Where Chopin Was Born","12/3/22"
"Forest of Piano: Season 2: Hero","12/3/22"
"Forest of Piano: Season 2: Requiem","12/3/22"
"Forest of Piano: Season 2: Deliberations Dance","12/3/22"
"Forest of Piano: Season 2: Promise","12/3/22"
"Forest of Piano: Season 2: Awakening","12/3/22"
"Forest of Piano: Season 2: Put His Everything for the Piano","12/3/22"
"Forest of Piano: Season 2: Chopin’s Journey","12/3/22"
"Forest of Piano: Season 1: fff","12/3/22"
"Troll","12/2/22"
"Belle","12/2/22"
"A Silent Voice","12/2/22"
"The Swimmers","12/2/22"
"Kabaneri of the Iron Fortress: The Battle of Unato: Part 3","12/2/22"
"Kabaneri of the Iron Fortress: The Battle of Unato: Part 2","12/2/22"
"Warriors of Future","12/2/22"
"Blood, Sex & Royalty: Never Let Them See You Cry","11/30/22"
"Blood, Sex & Royalty: Boleyns For The Win","11/30/22"
"Inside Job: Part 1: Sex Machina","11/25/22"
"Inside Job: Part 1: Blue Bloods","11/25/22"
"Inside Job: Part 1: Clone Gunman","11/25/22"
"Inside Job: Part 1: Unpresidented","11/25/22"
"Japan Sinks: 2020: Resurrection","11/25/22"
"The Idhun Chronicles: Part 1: Limbhad","11/25/22"
"Blue Exorcist: Blue Exorcist: Kyoto Saga: Small Beginnings","11/24/22"
"The Daily Life of the Immortal King: Episode 1","11/24/22"
"SPRIGGAN: The Forgotten Kingdom","11/23/22"
"SPRIGGAN: Flame Serpent","11/23/22"
"Company of Heroes","11/23/22"
"Medieval","11/23/22"
"1899: The Boy","11/23/22"
"1899: The Ship","11/23/22"
"The Dragon Prince: Season 1: An Empty Throne","11/23/22"
"One-Punch Man: The Obsessive Scientist","11/23/22"
"One-Punch Man: The Lone Cyborg","11/23/22"
"From Me to You: Kimi ni Todoke: From Me to You: Kimi ni Todoke 2: Important Person","11/23/22"
"From Me to You: Kimi ni Todoke: From Me to You: Kimi ni Todoke 2: After the Festival","11/23/22"
"Making 1899","11/23/22"
"My Father's Dragon","11/23/22"
"Somebody: Episode 1","11/23/22"
"Cagaster of an Insect Cage: Finally, For You","11/20/22"
"Cagaster of an Insect Cage: To You…","11/20/22"
"Bright: Samurai Soul","11/19/22"
"Love is Blind: Japan: Falling in Love...through a Wall","11/19/22"
"The Dragon Prince: Season 1: Bloodthirsty","11/18/22"
"The Dragon Prince: Season 1: Moonrise","11/18/22"
"The Dragon Prince: Season 1: What Is Done","11/18/22"
"The Dragon Prince: Season 1: Echoes of Thunder","11/18/22"
"Slumberland","11/18/22"
"A.I.C.O.: Breakthrough","11/15/22"
"LAST HOPE: Part 1: 2038 Neo Xianglong","11/15/22"
"All Quiet on the Western Front","11/11/22"
"Blue Period: Awakening to the Joy of Painting","11/11/22"
"Back Street Girls -GOKUDOLS-: Episode 1","11/11/22"
"Romantic Killer: Last Story!?","11/11/22"
